year,month,day,hour,sim_flow_cfs,flow_cfs
1979,10,1,0,7.746696563373288,NA
1979,10,1,6,7.746696563373288,NA
1979,10,1,12,29.873342737527828,NA
1979,10,1,18,44.80657550509714,NA
1979,10,2,0,53.94983147045494,NA
1979,10,2,6,60.27208094663264,NA
1979,10,2,12,62.59484223706873,NA
1979,10,2,18,63.73245634401033,NA
1979,10,3,0,65.06085475395216,NA
1979,10,3,6,64.39389498138371,NA
1979,10,3,12,64.43987535123684,NA
1979,10,3,18,64.42031907806935,NA
1979,10,4,0,65.17650061856192,NA
1979,10,4,6,63.98492118379622,NA
1979,10,4,12,63.874395542543155,NA
1979,10,4,18,63.78001191213325,NA
1979,10,5,0,64.49585278742764,NA
1979,10,5,6,64.42290610050864,NA
1979,10,5,12,64.35017058052594,NA
1979,10,5,18,64.27837129851048,NA
1979,10,6,0,65.00346673716949,NA
1979,10,6,6,65.78883208380383,NA
1979,10,6,12,65.72570567470129,NA
1979,10,6,18,65.65983044209216,NA
1979,10,7,0,66.38576697561045,NA
1979,10,7,6,67.91454478135624,NA
1979,10,7,12,67.91510599176185,NA
1979,10,7,18,67.88558078300669,NA
1979,10,8,0,68.62791232666912,NA
1979,10,8,6,68.38761249325785,NA
1979,10,8,12,68.32310033246767,NA
1979,10,8,18,68.25729850579476,NA
1979,10,9,0,68.98152446616923,NA
1979,10,9,6,68.6960131273179,NA
1979,10,9,12,68.62449660974544,NA
1979,10,9,18,68.54995180092097,NA
1979,10,10,0,69.26686378573332,NA
1979,10,10,6,69.36403573690974,NA
1979,10,10,12,69.30152483842731,NA
1979,10,10,18,69.23871751733367,NA
1979,10,11,0,69.96057220178086,NA
1979,10,11,6,70.23860660657623,NA
1979,10,11,12,70.18477433836824,NA
1979,10,11,18,70.12720801763278,NA
1979,10,12,0,70.84986909230494,NA
1979,10,12,6,71.24368825560342,NA
1979,10,12,12,71.19829949536515,NA
1979,10,12,18,71.14588478964828,NA
1979,10,13,0,71.86951413794787,NA
1979,10,13,6,72.95973832379181,NA
1979,10,13,12,72.9170115051,NA
1979,10,13,18,72.86680081970195,NA
1979,10,14,0,73.59040549288865,NA
1979,10,14,6,75.77078890676559,NA
1979,10,14,12,76.55467280598003,NA
1979,10,14,18,78.20001816978328,NA
1979,10,15,0,79.58613475333841,NA
1979,10,15,6,80.52484931758036,NA
1979,10,15,12,80.04554909987323,NA
1979,10,15,18,79.44426146331556,NA
1979,10,16,0,79.73203695798789,NA
1979,10,16,6,79.15803835497589,NA
1979,10,16,12,78.89812009646869,NA
1979,10,16,18,78.72210911798105,NA
1979,10,17,0,78.07461390397356,NA
1979,10,17,6,79.43338103124475,NA
1979,10,17,12,79.54245228559873,NA
1979,10,17,18,79.62289211058422,NA
1979,10,18,0,79.15866267240489,NA
1979,10,18,6,80.72772551658683,NA
1979,10,18,12,81.12279220728145,NA
1979,10,18,18,83.28577986695821,NA
