p_name,name,type,zone,value
adc_a_TLMO3-1,adc_a,snow,TLMO3-1,0.92632011
adc_a_TLMO3-2,adc_a,snow,TLMO3-2,0.43722905
adc_b_TLMO3-1,adc_b,snow,TLMO3-1,1.6111355
adc_b_TLMO3-2,adc_b,snow,TLMO3-2,9.2346152
adc_c_TLMO3-1,adc_c,snow,TLMO3-1,2.7872673
adc_c_TLMO3-2,adc_c,snow,TLMO3-2,0.32467465
adimp_TLMO3-1,adimp,sac,TLMO3-1,0.24698987
adimp_TLMO3-2,adimp,sac,TLMO3-2,0.37776316
alat_TLMO3-1,alat,snow,TLMO3-1,45.564
alat_TLMO3-2,alat,snow,TLMO3-2,45.62
daygm_TLMO3-1,daygm,snow,TLMO3-1,0
daygm_TLMO3-2,daygm,snow,TLMO3-2,0
elev_TLMO3-1,elev,snow,TLMO3-1,407.282
elev_TLMO3-2,elev,snow,TLMO3-2,705.947
init_adimc_TLMO3-1,init_adimc,sac,TLMO3-1,172.91706
init_adimc_TLMO3-2,init_adimc,sac,TLMO3-2,333.37536
init_lzfpc_TLMO3-1,init_lzfpc,sac,TLMO3-1,362.35597
init_lzfpc_TLMO3-2,init_lzfpc,sac,TLMO3-2,866.45473
init_lzfsc_TLMO3-1,init_lzfsc,sac,TLMO3-1,11.357792
init_lzfsc_TLMO3-2,init_lzfsc,sac,TLMO3-2,828.82765
init_lztwc_TLMO3-1,init_lztwc,sac,TLMO3-1,284.33662
init_lztwc_TLMO3-2,init_lztwc,sac,TLMO3-2,391.26453
init_swe_TLMO3-1,init_swe,snow,TLMO3-1,0
init_swe_TLMO3-2,init_swe,snow,TLMO3-2,0
init_uzfwc_TLMO3-1,init_uzfwc,sac,TLMO3-1,0.0014351715
init_uzfwc_TLMO3-2,init_uzfwc,sac,TLMO3-2,58.638188
init_uztwc_TLMO3-1,init_uztwc,sac,TLMO3-1,169.58516
init_uztwc_TLMO3-2,init_uztwc,sac,TLMO3-2,48.747502
lzfpm_TLMO3-1,lzfpm,sac,TLMO3-1,508.05555
lzfpm_TLMO3-2,lzfpm,sac,TLMO3-2,980.19107
lzfsm_TLMO3-1,lzfsm,sac,TLMO3-1,574.45514
lzfsm_TLMO3-2,lzfsm,sac,TLMO3-2,950.98534
lzpk_TLMO3-1,lzpk,sac,TLMO3-1,0.0048393636
lzpk_TLMO3-2,lzpk,sac,TLMO3-2,0.018195573
lzsk_TLMO3-1,lzsk,sac,TLMO3-1,0.18260717
lzsk_TLMO3-2,lzsk,sac,TLMO3-2,0.001
lztwm_TLMO3-1,lztwm,sac,TLMO3-1,152.23014
lztwm_TLMO3-2,lztwm,sac,TLMO3-2,127.54486
map_adj_01_TLMO3-1,map_adj_01,fa,TLMO3-1,1.2972727
map_adj_01_TLMO3-2,map_adj_01,fa,TLMO3-2,1.0485218
map_adj_02_TLMO3-1,map_adj_02,fa,TLMO3-1,0.84331062
map_adj_02_TLMO3-2,map_adj_02,fa,TLMO3-2,0.7275131
map_adj_03_TLMO3-1,map_adj_03,fa,TLMO3-1,0.8892276
map_adj_03_TLMO3-2,map_adj_03,fa,TLMO3-2,0.87911596
map_adj_04_TLMO3-1,map_adj_04,fa,TLMO3-1,1.0844296
map_adj_04_TLMO3-2,map_adj_04,fa,TLMO3-2,0.97868441
map_adj_05_TLMO3-1,map_adj_05,fa,TLMO3-1,0.95724463
map_adj_05_TLMO3-2,map_adj_05,fa,TLMO3-2,0.50934879
map_adj_06_TLMO3-1,map_adj_06,fa,TLMO3-1,1.1268947
map_adj_06_TLMO3-2,map_adj_06,fa,TLMO3-2,0.27104773
map_adj_07_TLMO3-1,map_adj_07,fa,TLMO3-1,1.3695139
map_adj_07_TLMO3-2,map_adj_07,fa,TLMO3-2,0.97699259
map_adj_08_TLMO3-1,map_adj_08,fa,TLMO3-1,0.079538064
map_adj_08_TLMO3-2,map_adj_08,fa,TLMO3-2,0.10946938
map_adj_09_TLMO3-1,map_adj_09,fa,TLMO3-1,0.84383761
map_adj_09_TLMO3-2,map_adj_09,fa,TLMO3-2,1.5448261
map_adj_10_TLMO3-1,map_adj_10,fa,TLMO3-1,1.239218
map_adj_10_TLMO3-2,map_adj_10,fa,TLMO3-2,0.57515894
map_adj_11_TLMO3-1,map_adj_11,fa,TLMO3-1,1.045386
map_adj_11_TLMO3-2,map_adj_11,fa,TLMO3-2,1.0327876
map_adj_12_TLMO3-1,map_adj_12,fa,TLMO3-1,1.0209812
map_adj_12_TLMO3-2,map_adj_12,fa,TLMO3-2,1.1188084
