name,type,zone,value
uztwm,sac,TLMO3-1,-99
uzfwm,sac,TLMO3-1,-99
lztwm,sac,TLMO3-1,-99
lzfpm,sac,TLMO3-1,-99
lzfsm,sac,TLMO3-1,-99
adimp,sac,TLMO3-1,-99
uzk,sac,TLMO3-1,-99
lzpk,sac,TLMO3-1,-99
lzsk,sac,TLMO3-1,-99
zperc,sac,TLMO3-1,-99
rexp,sac,TLMO3-1,-99
pctim,sac,TLMO3-1,-99
pfree,sac,TLMO3-1,-99
riva,sac,TLMO3-1,-99
side,sac,TLMO3-1,0
rserv,sac,TLMO3-1,-99
peadj,sac,TLMO3-1,1
pxadj,sac,TLMO3-1,1
init_uztwc,sac,TLMO3-1,-99
init_uzfwc,sac,TLMO3-1,-99
init_lztwc,sac,TLMO3-1,-99
init_lzfsc,sac,TLMO3-1,-99
init_lzfpc,sac,TLMO3-1,-99
init_adimc,sac,TLMO3-1,-99
zone_area,sac,TLMO3-1,417.566
peadj_10,sac,TLMO3-1,1.0491
peadj_11,sac,TLMO3-1,0.9613
peadj_12,sac,TLMO3-1,0.8731
peadj_01,sac,TLMO3-1,0.8616
peadj_02,sac,TLMO3-1,0.9161
peadj_03,sac,TLMO3-1,0.9212
peadj_04,sac,TLMO3-1,0.9651
peadj_05,sac,TLMO3-1,1.018
peadj_06,sac,TLMO3-1,1.0946
peadj_07,sac,TLMO3-1,1.1156
peadj_08,sac,TLMO3-1,1.0987
peadj_09,sac,TLMO3-1,1.1054
scf,snow,TLMO3-1,-99
mfmax,snow,TLMO3-1,-99
mfmin,snow,TLMO3-1,-99
uadj,snow,TLMO3-1,-99
si,snow,TLMO3-1,-99
nmf,snow,TLMO3-1,0.15
tipm,snow,TLMO3-1,0.12
mbase,snow,TLMO3-1,0
plwhc,snow,TLMO3-1,0.12
daygm,snow,TLMO3-1,0
adc_a,snow,TLMO3-1,-99
adc_b,snow,TLMO3-1,-99
adc_c,snow,TLMO3-1,-99
init_swe,snow,TLMO3-1,0
alat,snow,TLMO3-1,45.578
elev,snow,TLMO3-1,510.297
unit_shape,uh,TLMO3-1,-99
unit_scale,uh,TLMO3-1,-99
map_adj_01,fa,TLMO3-1,1
map_adj_02,fa,TLMO3-1,1
map_adj_03,fa,TLMO3-1,1
map_adj_04,fa,TLMO3-1,1
map_adj_05,fa,TLMO3-1,1
map_adj_06,fa,TLMO3-1,1
map_adj_07,fa,TLMO3-1,1
map_adj_08,fa,TLMO3-1,1
map_adj_09,fa,TLMO3-1,1
map_adj_10,fa,TLMO3-1,1
map_adj_11,fa,TLMO3-1,1
map_adj_12,fa,TLMO3-1,1
mat_adj_01,fa,TLMO3-1,0
mat_adj_02,fa,TLMO3-1,0
mat_adj_03,fa,TLMO3-1,0
mat_adj_04,fa,TLMO3-1,0
mat_adj_05,fa,TLMO3-1,0
mat_adj_06,fa,TLMO3-1,0
mat_adj_07,fa,TLMO3-1,0
mat_adj_08,fa,TLMO3-1,0
mat_adj_09,fa,TLMO3-1,0
mat_adj_10,fa,TLMO3-1,0
mat_adj_11,fa,TLMO3-1,0
mat_adj_12,fa,TLMO3-1,0
pet_adj_01,fa,TLMO3-1,1
pet_adj_02,fa,TLMO3-1,1
pet_adj_03,fa,TLMO3-1,1
pet_adj_04,fa,TLMO3-1,1
pet_adj_05,fa,TLMO3-1,1
pet_adj_06,fa,TLMO3-1,1
pet_adj_07,fa,TLMO3-1,1
pet_adj_08,fa,TLMO3-1,1
pet_adj_09,fa,TLMO3-1,1
pet_adj_10,fa,TLMO3-1,1
pet_adj_11,fa,TLMO3-1,1
pet_adj_12,fa,TLMO3-1,1
ptps_adj_01,fa,TLMO3-1,1
ptps_adj_02,fa,TLMO3-1,1
ptps_adj_03,fa,TLMO3-1,1
ptps_adj_04,fa,TLMO3-1,1
ptps_adj_05,fa,TLMO3-1,1
ptps_adj_06,fa,TLMO3-1,1
ptps_adj_07,fa,TLMO3-1,1
ptps_adj_08,fa,TLMO3-1,1
ptps_adj_09,fa,TLMO3-1,1
ptps_adj_10,fa,TLMO3-1,1
ptps_adj_11,fa,TLMO3-1,1
ptps_adj_12,fa,TLMO3-1,1
