p_name,name,type,zone,value
adc_a_TLMO3-1,adc_a,snow,TLMO3-1,0.4795963
adc_b_TLMO3-1,adc_b,snow,TLMO3-1,3.8489283
adc_c_TLMO3-1,adc_c,snow,TLMO3-1,0.050131754
adimp_TLMO3-1,adimp,sac,TLMO3-1,0.058880167
alat_TLMO3-1,alat,snow,TLMO3-1,45.578
daygm_TLMO3-1,daygm,snow,TLMO3-1,0
elev_TLMO3-1,elev,snow,TLMO3-1,510.297
init_adimc_TLMO3-1,init_adimc,sac,TLMO3-1,830.21533
init_lzfpc_TLMO3-1,init_lzfpc,sac,TLMO3-1,604.68333
init_lzfsc_TLMO3-1,init_lzfsc,sac,TLMO3-1,84.687631
init_lztwc_TLMO3-1,init_lztwc,sac,TLMO3-1,836.20263
init_swe_TLMO3-1,init_swe,snow,TLMO3-1,0
init_uzfwc_TLMO3-1,init_uzfwc,sac,TLMO3-1,155.89201
init_uztwc_TLMO3-1,init_uztwc,sac,TLMO3-1,26.861754
lzfpm_TLMO3-1,lzfpm,sac,TLMO3-1,1094.7855
lzfsm_TLMO3-1,lzfsm,sac,TLMO3-1,130.31718
lzpk_TLMO3-1,lzpk,sac,TLMO3-1,0.00048281237
lzsk_TLMO3-1,lzsk,sac,TLMO3-1,0.092956977
lztwm_TLMO3-1,lztwm,sac,TLMO3-1,401.00746
map_adj_01_TLMO3-1,map_adj_01,fa,TLMO3-1,1
map_adj_02_TLMO3-1,map_adj_02,fa,TLMO3-1,1
map_adj_03_TLMO3-1,map_adj_03,fa,TLMO3-1,1
map_adj_04_TLMO3-1,map_adj_04,fa,TLMO3-1,1
map_adj_05_TLMO3-1,map_adj_05,fa,TLMO3-1,1
map_adj_06_TLMO3-1,map_adj_06,fa,TLMO3-1,1
map_adj_07_TLMO3-1,map_adj_07,fa,TLMO3-1,1
map_adj_08_TLMO3-1,map_adj_08,fa,TLMO3-1,1
map_adj_09_TLMO3-1,map_adj_09,fa,TLMO3-1,1
map_adj_10_TLMO3-1,map_adj_10,fa,TLMO3-1,1
map_adj_11_TLMO3-1,map_adj_11,fa,TLMO3-1,1
map_adj_12_TLMO3-1,map_adj_12,fa,TLMO3-1,1
mat_adj_01_TLMO3-1,mat_adj_01,fa,TLMO3-1,0
mat_adj_02_TLMO3-1,mat_adj_02,fa,TLMO3-1,0
mat_adj_03_TLMO3-1,mat_adj_03,fa,TLMO3-1,0
mat_adj_04_TLMO3-1,mat_adj_04,fa,TLMO3-1,0
mat_adj_05_TLMO3-1,mat_adj_05,fa,TLMO3-1,0
mat_adj_06_TLMO3-1,mat_adj_06,fa,TLMO3-1,0
mat_adj_07_TLMO3-1,mat_adj_07,fa,TLMO3-1,0
mat_adj_08_TLMO3-1,mat_adj_08,fa,TLMO3-1,0
mat_adj_09_TLMO3-1,mat_adj_09,fa,TLMO3-1,0
mat_adj_10_TLMO3-1,mat_adj_10,fa,TLMO3-1,0
mat_adj_11_TLMO3-1,mat_adj_11,fa,TLMO3-1,0
mat_adj_12_TLMO3-1,mat_adj_12,fa,TLMO3-1,0
mbase_TLMO3-1,mbase,snow,TLMO3-1,0
mfmax_TLMO3-1,mfmax,snow,TLMO3-1,0.90341787
mfmin_TLMO3-1,mfmin,snow,TLMO3-1,0.16649441
nmf_TLMO3-1,nmf,snow,TLMO3-1,0.15
pctim_TLMO3-1,pctim,sac,TLMO3-1,0.060125968
peadj_01_TLMO3-1,peadj_01,sac,TLMO3-1,0.8616
peadj_02_TLMO3-1,peadj_02,sac,TLMO3-1,0.9161
peadj_03_TLMO3-1,peadj_03,sac,TLMO3-1,0.9212
peadj_04_TLMO3-1,peadj_04,sac,TLMO3-1,0.9651
peadj_05_TLMO3-1,peadj_05,sac,TLMO3-1,1.018
peadj_06_TLMO3-1,peadj_06,sac,TLMO3-1,1.0946
peadj_07_TLMO3-1,peadj_07,sac,TLMO3-1,1.1156
peadj_08_TLMO3-1,peadj_08,sac,TLMO3-1,1.0987
peadj_09_TLMO3-1,peadj_09,sac,TLMO3-1,1.1054
peadj_10_TLMO3-1,peadj_10,sac,TLMO3-1,1.0491
peadj_11_TLMO3-1,peadj_11,sac,TLMO3-1,0.9613
peadj_12_TLMO3-1,peadj_12,sac,TLMO3-1,0.8731
peadj_TLMO3-1,peadj,sac,TLMO3-1,1
pet_adj_01_TLMO3-1,pet_adj_01,fa,TLMO3-1,1
pet_adj_02_TLMO3-1,pet_adj_02,fa,TLMO3-1,1
pet_adj_03_TLMO3-1,pet_adj_03,fa,TLMO3-1,1
pet_adj_04_TLMO3-1,pet_adj_04,fa,TLMO3-1,1
pet_adj_05_TLMO3-1,pet_adj_05,fa,TLMO3-1,1
pet_adj_06_TLMO3-1,pet_adj_06,fa,TLMO3-1,1
pet_adj_07_TLMO3-1,pet_adj_07,fa,TLMO3-1,1
pet_adj_08_TLMO3-1,pet_adj_08,fa,TLMO3-1,1
pet_adj_09_TLMO3-1,pet_adj_09,fa,TLMO3-1,1
pet_adj_10_TLMO3-1,pet_adj_10,fa,TLMO3-1,1
pet_adj_11_TLMO3-1,pet_adj_11,fa,TLMO3-1,1
pet_adj_12_TLMO3-1,pet_adj_12,fa,TLMO3-1,1
pfree_TLMO3-1,pfree,sac,TLMO3-1,0.00084384637
plwhc_TLMO3-1,plwhc,snow,TLMO3-1,0.12
ptps_adj_01_TLMO3-1,ptps_adj_01,fa,TLMO3-1,1
ptps_adj_02_TLMO3-1,ptps_adj_02,fa,TLMO3-1,1
ptps_adj_03_TLMO3-1,ptps_adj_03,fa,TLMO3-1,1
ptps_adj_04_TLMO3-1,ptps_adj_04,fa,TLMO3-1,1
ptps_adj_05_TLMO3-1,ptps_adj_05,fa,TLMO3-1,1
ptps_adj_06_TLMO3-1,ptps_adj_06,fa,TLMO3-1,1
ptps_adj_07_TLMO3-1,ptps_adj_07,fa,TLMO3-1,1
ptps_adj_08_TLMO3-1,ptps_adj_08,fa,TLMO3-1,1
ptps_adj_09_TLMO3-1,ptps_adj_09,fa,TLMO3-1,1
ptps_adj_10_TLMO3-1,ptps_adj_10,fa,TLMO3-1,1
ptps_adj_11_TLMO3-1,ptps_adj_11,fa,TLMO3-1,1
ptps_adj_12_TLMO3-1,ptps_adj_12,fa,TLMO3-1,1
pxadj_TLMO3-1,pxadj,sac,TLMO3-1,1
rexp_TLMO3-1,rexp,sac,TLMO3-1,4.7642835
riva_TLMO3-1,riva,sac,TLMO3-1,0.60613997
rserv_TLMO3-1,rserv,sac,TLMO3-1,0.59472498
scf_TLMO3-1,scf,snow,TLMO3-1,0.83056074
si_TLMO3-1,si,snow,TLMO3-1,3020.9264
side_TLMO3-1,side,sac,TLMO3-1,0
tipm_TLMO3-1,tipm,snow,TLMO3-1,0.12
uadj_TLMO3-1,uadj,snow,TLMO3-1,0.10850259
unit_scale_TLMO3-1,unit_scale,uh,TLMO3-1,0.50969988
unit_shape_TLMO3-1,unit_shape,uh,TLMO3-1,2.4197591
uzfwm_TLMO3-1,uzfwm,sac,TLMO3-1,77.422632
uzk_TLMO3-1,uzk,sac,TLMO3-1,0.14278683
uztwm_TLMO3-1,uztwm,sac,TLMO3-1,344.6633
zone_area_TLMO3-1,zone_area,sac,TLMO3-1,417.566
zperc_TLMO3-1,zperc,sac,TLMO3-1,26.824323
