name,type,zone,value
uztwm,sac,TLMO3-1,-99
uzfwm,sac,TLMO3-1,-99
lztwm,sac,TLMO3-1,-99
lzfpm,sac,TLMO3-1,-99
lzfsm,sac,TLMO3-1,-99
adimp,sac,TLMO3-1,-99
uzk,sac,TLMO3-1,-99
lzpk,sac,TLMO3-1,-99
lzsk,sac,TLMO3-1,-99
zperc,sac,TLMO3-1,-99
rexp,sac,TLMO3-1,-99
pctim,sac,TLMO3-1,-99
pfree,sac,TLMO3-1,-99
riva,sac,TLMO3-1,-99
side,sac,TLMO3-1,0
rserv,sac,TLMO3-1,-99
peadj,sac,TLMO3-1,1
pxadj,sac,TLMO3-1,1
init_uztwc,sac,TLMO3-1,-99
init_uzfwc,sac,TLMO3-1,-99
init_lztwc,sac,TLMO3-1,-99
init_lzfsc,sac,TLMO3-1,-99
init_lzfpc,sac,TLMO3-1,-99
init_adimc,sac,TLMO3-1,-99
zone_area,sac,TLMO3-1,275.349
peadj_10,sac,TLMO3-1,1.0491
peadj_11,sac,TLMO3-1,0.9613
peadj_12,sac,TLMO3-1,0.8731
peadj_01,sac,TLMO3-1,0.8616
peadj_02,sac,TLMO3-1,0.9161
peadj_03,sac,TLMO3-1,0.9212
peadj_04,sac,TLMO3-1,0.9651
peadj_05,sac,TLMO3-1,1.018
peadj_06,sac,TLMO3-1,1.0946
peadj_07,sac,TLMO3-1,1.1156
peadj_08,sac,TLMO3-1,1.0987
peadj_09,sac,TLMO3-1,1.1054
scf,snow,TLMO3-1,-99
mfmax,snow,TLMO3-1,-99
mfmin,snow,TLMO3-1,-99
uadj,snow,TLMO3-1,-99
si,snow,TLMO3-1,-99
nmf,snow,TLMO3-1,0.15
tipm,snow,TLMO3-1,0.12
mbase,snow,TLMO3-1,0
plwhc,snow,TLMO3-1,0.12
daygm,snow,TLMO3-1,0
adc_a,snow,TLMO3-1,-99
adc_b,snow,TLMO3-1,-99
adc_c,snow,TLMO3-1,-99
init_swe,snow,TLMO3-1,0
alat,snow,TLMO3-1,45.564
elev,snow,TLMO3-1,407.282
unit_shape,uh,TLMO3-1,-99
unit_scale,uh,TLMO3-1,-99
map_scale,fa,TLMO3,1
map_p_redist,fa,TLMO3,0
map_std,fa,TLMO3,10
map_shift,fa,TLMO3,0
mat_scale,fa,TLMO3,1
mat_p_redist,fa,TLMO3,0
mat_std,fa,TLMO3,10
mat_shift,fa,TLMO3,0
pet_scale,fa,TLMO3,1
pet_p_redist,fa,TLMO3,0
pet_std,fa,TLMO3,10
pet_shift,fa,TLMO3,0
ptps_scale,fa,TLMO3,1
ptps_p_redist,fa,TLMO3,0
ptps_std,fa,TLMO3,10
ptps_shift,fa,TLMO3,0
map_lower_01,fa_limit,TLMO3-1,202.860658902857
map_upper_01,fa_limit,TLMO3-1,465.030558238889
map_lower_02,fa_limit,TLMO3-1,162.497788868571
map_upper_02,fa_limit,TLMO3-1,455.686723738889
map_lower_03,fa_limit,TLMO3-1,179.923085125714
map_upper_03,fa_limit,TLMO3-1,387.152348488889
map_lower_04,fa_limit,TLMO3-1,118.7403137
map_upper_04,fa_limit,TLMO3-1,233.053306505556
map_lower_05,fa_limit,TLMO3-1,71.31688175
map_upper_05,fa_limit,TLMO3-1,148.958718394444
map_lower_06,fa_limit,TLMO3-1,45.136816
map_upper_06,fa_limit,TLMO3-1,116.881588266667
map_lower_07,fa_limit,TLMO3-1,10.96511015
map_upper_07,fa_limit,TLMO3-1,29.71747295
map_lower_08,fa_limit,TLMO3-1,14.59960885
map_upper_08,fa_limit,TLMO3-1,31.2734205055556
map_lower_09,fa_limit,TLMO3-1,47.22951565
map_upper_09,fa_limit,TLMO3-1,106.037414572222
map_lower_10,fa_limit,TLMO3-1,119.382078445714
map_upper_10,fa_limit,TLMO3-1,251.761069022222
map_lower_11,fa_limit,TLMO3-1,225.998121864706
map_upper_11,fa_limit,TLMO3-1,556.56642052
map_lower_12,fa_limit,TLMO3-1,228.308656023529
map_upper_12,fa_limit,TLMO3-1,536.387250457143
mat_lower_01,fa_limit,TLMO3-1,2.47933621694299
mat_upper_01,fa_limit,TLMO3-1,4.675
mat_lower_02,fa_limit,TLMO3-1,3.18580110619472
mat_upper_02,fa_limit,TLMO3-1,5.21583333333333
mat_lower_03,fa_limit,TLMO3-1,4.48270100806455
mat_upper_03,fa_limit,TLMO3-1,6.83257142857143
mat_lower_04,fa_limit,TLMO3-1,5.9213310416667
mat_upper_04,fa_limit,TLMO3-1,8.74185714285714
mat_lower_05,fa_limit,TLMO3-1,8.89875
mat_upper_05,fa_limit,TLMO3-1,12.0528571428571
mat_lower_06,fa_limit,TLMO3-1,11.20125
mat_upper_06,fa_limit,TLMO3-1,14.9662857142857
mat_lower_07,fa_limit,TLMO3-1,13.925
mat_upper_07,fa_limit,TLMO3-1,18.5868571428572
mat_lower_08,fa_limit,TLMO3-1,14.25875
mat_upper_08,fa_limit,TLMO3-1,19.3992857142857
mat_lower_09,fa_limit,TLMO3-1,12.5425
mat_upper_09,fa_limit,TLMO3-1,17.2574285714286
mat_lower_10,fa_limit,TLMO3-1,8.67200377619159
mat_upper_10,fa_limit,TLMO3-1,12.0135714285714
mat_lower_11,fa_limit,TLMO3-1,4.77155635714285
mat_upper_11,fa_limit,TLMO3-1,6.55914285714286
mat_lower_12,fa_limit,TLMO3-1,2.13351615207374
mat_upper_12,fa_limit,TLMO3-1,3.97885714285714
pet_lower_01,fa_limit,TLMO3-1,1.295374425629
pet_upper_01,fa_limit,TLMO3-1,22.4841153765556
pet_lower_02,fa_limit,TLMO3-1,7.68026804431
pet_upper_02,fa_limit,TLMO3-1,29.6330498262944
pet_lower_03,fa_limit,TLMO3-1,27.5092702671
pet_upper_03,fa_limit,TLMO3-1,48.3141977156667
pet_lower_04,fa_limit,TLMO3-1,49.5561053991892
pet_upper_04,fa_limit,TLMO3-1,67.6963669494445
pet_lower_05,fa_limit,TLMO3-1,75.2311137254594
pet_upper_05,fa_limit,TLMO3-1,93.8780524574444
pet_lower_06,fa_limit,TLMO3-1,86.949011141
pet_upper_06,fa_limit,TLMO3-1,108.927647382889
pet_lower_07,fa_limit,TLMO3-1,93.647178085
pet_upper_07,fa_limit,TLMO3-1,134.2911072745
pet_lower_08,fa_limit,TLMO3-1,74.1058960475
pet_upper_08,fa_limit,TLMO3-1,124.243984789833
pet_lower_09,fa_limit,TLMO3-1,44.3438742915
pet_upper_09,fa_limit,TLMO3-1,88.6269745533333
pet_lower_10,fa_limit,TLMO3-1,19.206334714
pet_upper_10,fa_limit,TLMO3-1,49.4567675384445
