name,lower,optimal,upper
uztwm_TLMO3-1,1,344.04687,400
uzfwm_TLMO3-1,1,270.68564,400
lztwm_TLMO3-1,1,458.49886,500
lzfpm_TLMO3-1,1,543.15089,1200
lzfsm_TLMO3-1,1,593.86554,1000
adimp_TLMO3-1,0,0.28859803,0.4
uzk_TLMO3-1,0.1,0.26774227,0.7
lzpk_TLMO3-1,1e-05,0.016227786,0.025
lzsk_TLMO3-1,0.001,0.28549587,0.3
zperc_TLMO3-1,1,114.08617,250
rexp_TLMO3-1,0,0.3754591,6
pctim_TLMO3-1,0,0.17858533,0.2
pfree_TLMO3-1,0,0.65766821,1
riva_TLMO3-1,0,0.38389077,1
rserv_TLMO3-1,0,0.7552688,1
init_uztwc_TLMO3-1,0,156.94437,1000
init_uzfwc_TLMO3-1,0,16.720241,1000
init_lztwc_TLMO3-1,0,450.87196,1000
init_lzfsc_TLMO3-1,0,0.014001136,1000
init_lzfpc_TLMO3-1,0,4.6718036,1000
init_adimc_TLMO3-1,0,435.06666,1000
scf_TLMO3-1,0.7,1.4961503,2
mfmax_TLMO3-1,0.5,0.80690882,3
mfmin_TLMO3-1,0.01,0.48652272,0.49
uadj_TLMO3-1,0.01,0.059629359,0.4
si_TLMO3-1,1,106.46475,3500
adc_a_TLMO3-1,0,0.7432343,1
adc_b_TLMO3-1,0.05,4.1597194,10
adc_c_TLMO3-1,0.05,0.1820754,10
unit_shape_TLMO3-1,1,2.759318,3
unit_scale_TLMO3-1,0.1,0.4922782,4
uztwm_TLMO3-2,1,339.61925,400
uzfwm_TLMO3-2,1,139.45155,400
lztwm_TLMO3-2,1,476.20143,500
lzfpm_TLMO3-2,1,672.72502,1200
lzfsm_TLMO3-2,1,239.6645,1000
adimp_TLMO3-2,0,0.20053589,0.4
uzk_TLMO3-2,0.1,0.69998333,0.7
lzpk_TLMO3-2,1e-05,0.0045501873,0.025
lzsk_TLMO3-2,0.001,0.28090483,0.3
zperc_TLMO3-2,1,99.435765,250
rexp_TLMO3-2,0,2.1606609,6
pctim_TLMO3-2,0,0.050726031,0.2
pfree_TLMO3-2,0,0.1234385,1
riva_TLMO3-2,0,0.8178847,1
rserv_TLMO3-2,0,0.74434071,1
init_uztwc_TLMO3-2,0,14.958142,1000
init_uzfwc_TLMO3-2,0,323.77623,1000
init_lztwc_TLMO3-2,0,715.07445,1000
init_lzfsc_TLMO3-2,0,93.521082,1000
init_lzfpc_TLMO3-2,0,130.37867,1000
init_adimc_TLMO3-2,0,706.4192,1000
scf_TLMO3-2,0.7,1.2013071,2
mfmax_TLMO3-2,0.5,2.0033044,3
mfmin_TLMO3-2,0.01,0.32773812,0.49
uadj_TLMO3-2,0.01,0.25896252,0.4
si_TLMO3-2,1,1924.0986,3500
adc_a_TLMO3-2,0,0.67964548,1
adc_b_TLMO3-2,0.05,0.05011712,10
adc_c_TLMO3-2,0.05,6.9269204,10
unit_shape_TLMO3-2,1,2.3308411,3
unit_scale_TLMO3-2,0.1,0.43583098,4
map_scale_TLMO3,0.5,1.114937,1.5
map_p_redist_TLMO3,0,0.26537924,0.5
map_std_TLMO3,0.1,1.1597262,20
map_shift_TLMO3,-15,1.1025143,15
mat_scale_TLMO3,0.5,0.76630982,1.5
mat_p_redist_TLMO3,0,0.12518787,0.5
mat_std_TLMO3,0.1,16.874462,20
mat_shift_TLMO3,-15,5.9054805,15
pet_scale_TLMO3,0.5,1.0168519,1.5
pet_p_redist_TLMO3,0,0.24233999,0.5
pet_std_TLMO3,0.1,19.129839,20
pet_shift_TLMO3,-15,-3.0217905,15
ptps_scale_TLMO3,0.5,1.073091,1.5
ptps_p_redist_TLMO3,0,0.10963248,0.5
ptps_std_TLMO3,0.1,9.7461964,20
ptps_shift_TLMO3,-15,6.1395039,15
