year,month,day,hour,flow_cfs
1980,10,1,0,17045.373
1980,10,1,6,17045.373
1980,10,1,12,17045.373
1980,10,1,18,17045.373
1980,10,2,0,14396.956
1980,10,2,6,11390.833
1980,10,2,12,9357.207
1980,10,2,18,8725.322
1980,10,3,0,8135.492
1980,10,3,6,7484.835
1980,10,3,12,7316.1865
1980,10,3,18,7702.2666
1980,10,4,0,8483.446
1980,10,4,6,8910.945
1980,10,4,12,8645.2705
1980,10,4,18,7948.5015
1980,10,5,0,6590.3867
1980,10,5,6,5765.5483
1980,10,5,12,5340.4707
1980,10,5,18,5059.285
1980,10,6,0,5111.3823
1980,10,6,6,5327.231
1980,10,6,12,5385.1196
1980,10,6,18,5514.243
1980,10,7,0,5905.856
1980,10,7,6,6222.67
1980,10,7,12,6260.947
1980,10,7,18,6406.001
1980,10,8,0,6725.9585
1980,10,8,6,6889.688
1980,10,8,12,6915.9844
1980,10,8,18,7026.4863
1980,10,9,0,7103.8574
1980,10,9,6,7051.1685
1980,10,9,12,7278.448
1980,10,9,18,7747.7764
1980,10,10,0,7928.179
1980,10,10,6,7495.4487
1980,10,10,12,7250.8066
1980,10,10,18,7000.4487
1980,10,11,0,6500.153
1980,10,11,6,6082.072
1980,10,11,12,5721.158
1980,10,11,18,5450.0366
1980,10,12,0,5520.056
1980,10,12,6,5614.9937
1980,10,12,12,5420.253
1980,10,12,18,4964.595
1980,10,13,0,4331.236
1980,10,13,6,4169.142
1980,10,13,12,4408.65
1980,10,13,18,4916.491
1980,10,14,0,6113.0396
1980,10,14,6,7420.801
1980,10,14,12,8001.04
1980,10,14,18,8114.201
1980,10,15,0,7469.2275
1980,10,15,6,6720.0273
1980,10,15,12,6477.1396
1980,10,15,18,6307.8984
1980,10,16,0,5921.162
1980,10,16,6,5655.7993
1980,10,16,12,5606.964
1980,10,16,18,5743.1055
1980,10,17,0,5996.5635
1980,10,17,6,6080.027
1980,10,17,12,6033.71
1980,10,17,18,6093.2876
1980,10,18,0,6414.5366
1980,10,18,6,6677.338
1980,10,18,12,6652.8066
1980,10,18,18,6585.005
1980,10,19,0,6466.333
1980,10,19,6,6224.1987
1980,10,19,12,5835.912
