# A tibble: 158 x 4
    name                   lower    optimal    upper
    <chr>                  <dbl>      <dbl>    <dbl>
  1 uztwm_TLMO3-1        1        374.       400    
  2 uzfwm_TLMO3-1        1        227.       400    
  3 lztwm_TLMO3-1        1        152.       500    
  4 lzfpm_TLMO3-1        1        508.      1200    
  5 lzfsm_TLMO3-1        1        574.      1000    
  6 adimp_TLMO3-1        0          0.247      0.4  
  7 uzk_TLMO3-1          0.1        0.700      0.7  
  8 lzpk_TLMO3-1         0.00001    0.00484    0.025
  9 lzsk_TLMO3-1         0.001      0.183      0.3  
 10 zperc_TLMO3-1        1        135.       250    
 11 rexp_TLMO3-1         0          4.71       6    
 12 pctim_TLMO3-1        0          0.0441     0.2  
 13 pfree_TLMO3-1        0          0.496      1    
 14 riva_TLMO3-1         0          0.487      1    
 15 rserv_TLMO3-1        0          0.989      1    
 16 init_uztwc_TLMO3-1   0        170.      1000    
 17 init_uzfwc_TLMO3-1   0          0.00144 1000    
 18 init_lztwc_TLMO3-1   0        284.      1000    
 19 init_lzfsc_TLMO3-1   0         11.4     1000    
 20 init_lzfpc_TLMO3-1   0        362.      1000    
 21 init_adimc_TLMO3-1   0        173.      1000    
 22 scf_TLMO3-1          0.7        1.02       2    
 23 mfmax_TLMO3-1        0.5        1.34       3    
 24 mfmin_TLMO3-1        0.01       0.253      0.49 
 25 uadj_TLMO3-1         0.01       0.219      0.4  
 26 si_TLMO3-1           1       2962.      3500    
 27 adc_a_TLMO3-1        0          0.926      1    
 28 adc_b_TLMO3-1        0.05       1.61      10    
 29 adc_c_TLMO3-1        0.05       2.79      10    
 30 unit_shape_TLMO3-1   1          2.02       3    
 31 unit_scale_TLMO3-1   0.1        0.696      4    
 32 map_adj_01_TLMO3-1   0.409      1.30       1.38 
 33 map_adj_02_TLMO3-1   0.284      0.843      1.05 
 34 map_adj_03_TLMO3-1   0.332      0.889      1.19 
 35 map_adj_04_TLMO3-1   0.307      1.08       1.30 
 36 map_adj_05_TLMO3-1   0.216      0.957      1.88 
 37 map_adj_06_TLMO3-1   0.191      1.13       1.61 
 38 map_adj_07_TLMO3-1   0.0822     1.37       5.43 
 39 map_adj_08_TLMO3-1   0.0782     0.0795    20    
 40 map_adj_09_TLMO3-1   0.0976     0.844     20    
 41 map_adj_10_TLMO3-1   0.246      1.24       1.46 
 42 map_adj_11_TLMO3-1   0.294      1.05       1.05 
 43 map_adj_12_TLMO3-1   0.339      1.02       1.13 
 44 mat_adj_01_TLMO3-1  -1.45       0.368      3.46 
 45 mat_adj_02_TLMO3-1  -2.07      -1.03       2.39 
 46 mat_adj_03_TLMO3-1  -1.85      -0.256      1.71 
