month,basin,zone,lower,upper,variable
1,ABOM8,ABOM8-1,25.6034220685714,56.0469375085714,map
2,ABOM8,ABOM8-1,27.1857782057143,49.2601990833333,map
3,ABOM8,ABOM8-1,27.24564528,60.0575488857143,map
4,ABOM8,ABOM8-1,29.2888851428571,67.0442173028571,map
5,ABOM8,ABOM8-1,49.62928225,85.4013800514286,map
6,ABOM8,ABOM8-1,44.43941455,81.97506592,map
7,ABOM8,ABOM8-1,16.6682039,39.9923769055556,map
8,ABOM8,ABOM8-1,19.80471655,39.2878709142857,map
9,ABOM8,ABOM8-1,24.43964505,48.46450048,map
10,ABOM8,ABOM8-1,25.5212175085714,48.9497304685714,map
11,ABOM8,ABOM8-1,39.7937931942857,62.3295134647059,map
12,ABOM8,ABOM8-1,33.3475763294118,58.9190009294118,map
1,ACAW1,ACAW1-1,23.77474925,72.7020353714286,map
2,ACAW1,ACAW1-1,20.33425575,64.2389534914286,map
3,ACAW1,ACAW1-1,29.2113716,86.3733408057143,map
4,ACAW1,ACAW1-1,25.49666605,81.0291612114286,map
5,ACAW1,ACAW1-1,35.9690797,87.44124752,map
6,ACAW1,ACAW1-1,29.0187507,65.4039716628572,map
7,ACAW1,ACAW1-1,13.0025775,30.9107803714286,map
8,ACAW1,ACAW1-1,10.389489,27.1117945371429,map
9,ACAW1,ACAW1-1,11.56063855,36.1244242857143,map
10,ACAW1,ACAW1-1,18.35379235,51.8933132457143,map
11,ACAW1,ACAW1-1,30.39954804,83.3870286117647,map
12,ACAW1,ACAW1-1,28.3325664342857,79.7613123352941,map
1,AFRI1,AFRI1-1,21.8848119942857,49.1322106,map
2,AFRI1,AFRI1-1,19.3352884457143,43.2914174628572,map
3,AFRI1,AFRI1-1,25.8806877428571,53.5633748571429,map
4,AFRI1,AFRI1-1,23.2638473,55.5812814857143,map
5,AFRI1,AFRI1-1,31.7613157,59.6506546742857,map
6,AFRI1,AFRI1-1,16.9345356,33.3775630571429,map
7,AFRI1,AFRI1-1,8.676132,22.5480430057143,map
8,AFRI1,AFRI1-1,10.7395137,23.9073000571429,map
9,AFRI1,AFRI1-1,16.04004285,32.5919221885714,map
10,AFRI1,AFRI1-1,19.18096875,38.9105132742857,map
11,AFRI1,AFRI1-1,24.0599540571429,47.874902382353,map
12,AFRI1,AFRI1-1,25.1511838411765,54.7595320411765,map
1,AGNO3,AGNO3-1,141.774672,199.559142954286,map
2,AGNO3,AGNO3-1,122.04527915,182.421695805556,map
3,AGNO3,AGNO3-1,122.4169129,174.168244862857,map
4,AGNO3,AGNO3-1,68.26890715,109.029112468571,map
5,AGNO3,AGNO3-1,39.40560445,73.4505000742857,map
6,AGNO3,AGNO3-1,19.3105659,36.31820016,map
7,AGNO3,AGNO3-1,4.05398605,11.2309939028571,map
8,AGNO3,AGNO3-1,5.3878607,14.1239174685714,map
9,AGNO3,AGNO3-1,16.3196016,30.5237554914286,map
10,AGNO3,AGNO3-1,58.3569953,86.7728777055556,map
11,AGNO3,AGNO3-1,148.522987542857,220.172771564706,map
12,AGNO3,AGNO3-1,189.105994958824,266.224572511765,map
1,AGSO3,AGSO3-1,192.784996337143,337.157125616667,map
2,AGSO3,AGSO3-1,171.142526468572,305.584227116667,map
3,AGSO3,AGSO3-1,180.840189137143,288.062424466667,map
4,AGSO3,AGSO3-1,97.8102851657143,175.212640288889,map
5,AGSO3,AGSO3-1,46.9582151657143,105.1206178,map
6,AGSO3,AGSO3-1,23.0218226742857,51.3333082777778,map
7,AGSO3,AGSO3-1,4.23390695,15.2029844388889,map
8,AGSO3,AGSO3-1,6.82339885,16.6973830571429,map
9,AGSO3,AGSO3-1,21.43398685,44.0586868944445,map
10,AGSO3,AGSO3-1,84.1070835,139.638229316667,map
11,AGSO3,AGSO3-1,193.121064847059,333.784547422857,map
12,AGSO3,AGSO3-1,247.446342052941,427.614092337143,map
1,ALBO3,ALBO3-1,152.165062337143,221.16555208,map
2,ALBO3,ALBO3-1,116.667904114286,182.258184051429,map
3,ALBO3,ALBO3-1,123.100290102857,199.088912754286,map
4,ALBO3,ALBO3-1,79.7550979371429,151.243211428571,map
5,ALBO3,ALBO3-1,67.8325825028571,106.925198537143,map
6,ALBO3,ALBO3-1,43.3212283542857,67.0564949371429,map
7,ALBO3,ALBO3-1,10.5521506,20.9539302971429,map
8,ALBO3,ALBO3-1,11.3160175,20.9501464228571,map
9,ALBO3,ALBO3-1,34.4633423,53.5223684722222,map
10,ALBO3,ALBO3-1,87.92881195,127.373031657143,map
11,ALBO3,ALBO3-1,182.730845223529,244.320458929412,map
12,ALBO3,ALBO3-1,187.849226117647,254.208539976471,map
1,ALFW1,ALFW1-1,89.1186910971429,140.338476897143,map
2,ALFW1,ALFW1-1,58.2344457428572,101.344255382857,map
3,ALFW1,ALFW1-1,67.1538037885714,121.88031504,map
4,ALFW1,ALFW1-1,49.7046547542857,93.7389794,map
5,ALFW1,ALFW1-1,52.10113405,88.6101932571429,map
6,ALFW1,ALFW1-1,49.91198425,81.0291133142857,map
7,ALFW1,ALFW1-1,19.6867272,37.56918572,map
8,ALFW1,ALFW1-1,17.99022945,37.0372560171429,map
9,ALFW1,ALFW1-1,29.92981695,56.2586748114286,map
10,ALFW1,ALFW1-1,57.8961569314286,95.0911796057143,map
11,ALFW1,ALFW1-1,105.993462652941,165.973822752941,map
12,ALFW1,ALFW1-1,92.5809493235294,144.447244311765,map
1,ALPW4,ALPW4-1,35.80959564,87.9048599314286,map
2,ALPW4,ALPW4-1,30.8227519542857,76.4942677085714,map
3,ALPW4,ALPW4-1,33.5794589485714,85.4168428457143,map
4,ALPW4,ALPW4-1,32.0052148457143,81.77641252,map
5,ALPW4,ALPW4-1,47.1472768,84.1286012914286,map
6,ALPW4,ALPW4-1,28.0401649,63.1861343771429,map
7,ALPW4,ALPW4-1,16.06095975,46.56603336,map
8,ALPW4,ALPW4-1,18.95382925,41.3991769714286,map
9,ALPW4,ALPW4-1,29.04983395,62.1799590971429,map
10,ALPW4,ALPW4-1,32.8886754685714,64.045465,map
11,ALPW4,ALPW4-1,43.5938653588235,89.8716643,map
12,ALPW4,ALPW4-1,40.3664905588235,93.2376289705882,map
1,ALRW1,ALRW1-1,184.02431445,334.183960366667,map
2,ALRW1,ALRW1-1,136.3687138,214.884887548571,map
3,ALRW1,ALRW1-1,160.3030322,248.657416211111,map
4,ALRW1,ALRW1-1,117.5799655,187.207986554286,map
5,ALRW1,ALRW1-1,83.4567916114286,146.279965794286,map
