param,min,max,basin,zone,type
efc,0.52,0.75,NRKW1,NRKW1-1,gis
mfmax,0.69,1,NRKW1,NRKW1-1,gis
mfmin,0.16,0.38,NRKW1,NRKW1-1,gis
pbase,4.31,9.16,NRKW1,NRKW1-1,gis
rexp,1.98,2.69,NRKW1,NRKW1-1,gis
uadj,0.12,0.18,NRKW1,NRKW1-1,gis
zperc,219.85,219.85,NRKW1,NRKW1-1,gis
zprec,71.05,71.05,NRKW1,NRKW1-1,gis
efc,0.83,0.84,NRKW1,NRKW1-2,gis
mfmax,0.59,0.84,NRKW1,NRKW1-2,gis
mfmin,0.19,0.4,NRKW1,NRKW1-2,gis
pbase,3.79,7.7,NRKW1,NRKW1-2,gis
rexp,1.9,2.64,NRKW1,NRKW1-2,gis
uadj,0.17,0.21,NRKW1,NRKW1-2,gis
zperc,171.03,171.03,NRKW1,NRKW1-2,gis
zprec,57.2,57.2,NRKW1,NRKW1-2,gis
lzfpm,57.47826,219.1772,NRKW1,NRKW1-1,apriori
lzfsm,9.77146,21.54783,NRKW1,NRKW1-1,apriori
lzpk,0.003351699,0.05455249,NRKW1,NRKW1-1,apriori
lzsk,0.1470083,0.1738377,NRKW1,NRKW1-1,apriori
lztwm,85.91369,205.9989,NRKW1,NRKW1-1,apriori
pfree,0.07209149,0.2311594,NRKW1,NRKW1-1,apriori
rexp,1.39135,2.060117,NRKW1,NRKW1-1,apriori
uzfwm,27.25279,61.96961,NRKW1,NRKW1-1,apriori
uzk,0.3980849,0.4877375,NRKW1,NRKW1-1,apriori
uztwm,32.81415,75.67657,NRKW1,NRKW1-1,apriori
zperc,34.24352,86.41848,NRKW1,NRKW1-1,apriori
lzfpm,47.93945,193,NRKW1,NRKW1-2,apriori
lzfsm,6.602074,26.9,NRKW1,NRKW1-2,apriori
lzpk,0.003213864,0.02697405,NRKW1,NRKW1-2,apriori
lzsk,0.1530905,0.206,NRKW1,NRKW1-2,apriori
lztwm,59.53437,256,NRKW1,NRKW1-2,apriori
pfree,0.1022244,0.1549323,NRKW1,NRKW1-2,apriori
rexp,1.557729,1.891794,NRKW1,NRKW1-2,apriori
uzfwm,40,62.3297,NRKW1,NRKW1-2,apriori
uzk,0.4165942,0.57,NRKW1,NRKW1-2,apriori
uztwm,37,74.91622,NRKW1,NRKW1-2,apriori
zperc,57.71605,177.7,NRKW1,NRKW1-2,apriori
uztwm,25,125,NRKW1,NRKW1-1,anderson
uzfwm,10,75,NRKW1,NRKW1-1,anderson
lztwm,75,300,NRKW1,NRKW1-1,anderson
lzfpm,40,600,NRKW1,NRKW1-1,anderson
lzfsm,15,300,NRKW1,NRKW1-1,anderson
adimp,0,0.2,NRKW1,NRKW1-1,anderson
uzk,0.2,0.5,NRKW1,NRKW1-1,anderson
lzpk,0.001,0.015,NRKW1,NRKW1-1,anderson
lzsk,0.03,0.2,NRKW1,NRKW1-1,anderson
zperc,20,300,NRKW1,NRKW1-1,anderson
rexp,1.4,3.5,NRKW1,NRKW1-1,anderson
pctim,0,0.05,NRKW1,NRKW1-1,anderson
pfree,0,0.5,NRKW1,NRKW1-1,anderson
riva,0,0.2,NRKW1,NRKW1-1,anderson
rserv,0.3,0.3,NRKW1,NRKW1-1,anderson
scf,0.7,1.6,NRKW1,NRKW1-1,anderson
mfmax,0.5,2.2,NRKW1,NRKW1-1,anderson
mfmin,0.1,0.6,NRKW1,NRKW1-1,anderson
uadj,0.05,0.2,NRKW1,NRKW1-1,anderson
si,1,9999,NRKW1,NRKW1-1,anderson
nmf,0.05,0.3,NRKW1,NRKW1-1,anderson
tipm,0.05,0.2,NRKW1,NRKW1-1,anderson
mbase,0,0,NRKW1,NRKW1-1,anderson
pxtemp,0.5,2,NRKW1,NRKW1-1,anderson
plwhc,0.02,0.3,NRKW1,NRKW1-1,anderson
daygm,0,0.3,NRKW1,NRKW1-1,anderson
uztwm,25,125,NRKW1,NRKW1-2,anderson
uzfwm,10,75,NRKW1,NRKW1-2,anderson
lztwm,75,300,NRKW1,NRKW1-2,anderson
lzfpm,40,600,NRKW1,NRKW1-2,anderson
lzfsm,15,300,NRKW1,NRKW1-2,anderson
adimp,0,0.2,NRKW1,NRKW1-2,anderson
uzk,0.2,0.5,NRKW1,NRKW1-2,anderson
lzpk,0.001,0.015,NRKW1,NRKW1-2,anderson
lzsk,0.03,0.2,NRKW1,NRKW1-2,anderson
zperc,20,300,NRKW1,NRKW1-2,anderson
rexp,1.4,3.5,NRKW1,NRKW1-2,anderson
pctim,0,0.05,NRKW1,NRKW1-2,anderson
pfree,0,0.5,NRKW1,NRKW1-2,anderson
riva,0,0.2,NRKW1,NRKW1-2,anderson
rserv,0.3,0.3,NRKW1,NRKW1-2,anderson
scf,0.7,1.6,NRKW1,NRKW1-2,anderson
mfmax,0.5,2.2,NRKW1,NRKW1-2,anderson
mfmin,0.1,0.6,NRKW1,NRKW1-2,anderson
uadj,0.05,0.2,NRKW1,NRKW1-2,anderson
si,1,9999,NRKW1,NRKW1-2,anderson
nmf,0.05,0.3,NRKW1,NRKW1-2,anderson
tipm,0.05,0.2,NRKW1,NRKW1-2,anderson
mbase,0,0,NRKW1,NRKW1-2,anderson
pxtemp,0.5,2,NRKW1,NRKW1-2,anderson
plwhc,0.02,0.3,NRKW1,NRKW1-2,anderson
daygm,0,0.3,NRKW1,NRKW1-2,anderson
