name,type,zone,value
uztwm,sac,NRKW1-1,-99
uzfwm,sac,NRKW1-1,-99
lztwm,sac,NRKW1-1,-99
lzfpm,sac,NRKW1-1,-99
lzfsm,sac,NRKW1-1,-99
adimp,sac,NRKW1-1,-99
uzk,sac,NRKW1-1,-99
lzpk,sac,NRKW1-1,-99
lzsk,sac,NRKW1-1,-99
zperc,sac,NRKW1-1,-99
rexp,sac,NRKW1-1,-99
pctim,sac,NRKW1-1,-99
pfree,sac,NRKW1-1,-99
riva,sac,NRKW1-1,-99
side,sac,NRKW1-1,0
rserv,sac,NRKW1-1,0.3
peadj,sac,NRKW1-1,1
pxadj,sac,NRKW1-1,1
peadj_10,sac,NRKW1-1,0.873
peadj_11,sac,NRKW1-1,0.6547
peadj_12,sac,NRKW1-1,0.5467
peadj_01,sac,NRKW1-1,0.5614
peadj_02,sac,NRKW1-1,0.5744
peadj_03,sac,NRKW1-1,0.5922
peadj_04,sac,NRKW1-1,0.6592
peadj_05,sac,NRKW1-1,0.7924
peadj_06,sac,NRKW1-1,0.9348
peadj_07,sac,NRKW1-1,1.0012
peadj_08,sac,NRKW1-1,1.0061
peadj_09,sac,NRKW1-1,0.9989
efc,sac,NRKW1-1,0.257369803435
scf,snow,NRKW1-1,-99
mfmax,snow,NRKW1-1,-99
mfmin,snow,NRKW1-1,-99
uadj,snow,NRKW1-1,-99
si,snow,NRKW1-1,-99
nmf,snow,NRKW1-1,0.15
tipm,snow,NRKW1-1,0.12
mbase,snow,NRKW1-1,0
plwhc,snow,NRKW1-1,0.04
daygm,snow,NRKW1-1,0
adc_a,snow,NRKW1-1,0.5
adc_b,snow,NRKW1-1,1
adc_c,snow,NRKW1-1,1
init_swe,snow,NRKW1-1,0
alat,snow,NRKW1-1,48.846
elev,snow,NRKW1-1,343.992
zone_area,uh,NRKW1-1,434.146
unit_shape,uh,NRKW1-1,-99
unit_toc,uh,NRKW1-1,65.25671441
unit_toc_adj,uh,NRKW1-1,-99
n_clmods,chanloss,NRKW1,0
cl_type,chanloss,NRKW1,1
map_scale,fa,NRKW1,1
map_p_redist,fa,NRKW1,0
map_std,fa,NRKW1,10
map_shift,fa,NRKW1,0
mat_scale,fa,NRKW1,1
mat_p_redist,fa,NRKW1,0
mat_std,fa,NRKW1,10
mat_shift,fa,NRKW1,0
pet_scale,fa,NRKW1,1
pet_p_redist,fa,NRKW1,0
pet_std,fa,NRKW1,10
pet_shift,fa,NRKW1,0
ptps_scale,fa,NRKW1,1
ptps_p_redist,fa,NRKW1,0
ptps_std,fa,NRKW1,10
ptps_shift,fa,NRKW1,0
map_lower_01,fa_limit,NRKW1-1,207.9973336
map_upper_01,fa_limit,NRKW1-1,361.9777954
map_lower_02,fa_limit,NRKW1-1,129.4755979
map_upper_02,fa_limit,NRKW1-1,245.9238054
map_lower_03,fa_limit,NRKW1-1,156.0955911
map_upper_03,fa_limit,NRKW1-1,279.8561205
map_lower_04,fa_limit,NRKW1-1,113.7985953
map_upper_04,fa_limit,NRKW1-1,204.7660334
map_lower_05,fa_limit,NRKW1-1,82.68913975
map_upper_05,fa_limit,NRKW1-1,167.5878001
map_lower_06,fa_limit,NRKW1-1,62.43348158
map_upper_06,fa_limit,NRKW1-1,135.6586387
map_lower_07,fa_limit,NRKW1-1,36.75779578
map_upper_07,fa_limit,NRKW1-1,79.9550119
map_lower_08,fa_limit,NRKW1-1,39.02252292
map_upper_08,fa_limit,NRKW1-1,80.19088937
map_lower_09,fa_limit,NRKW1-1,74.81439226
map_upper_09,fa_limit,NRKW1-1,125.858971
map_lower_10,fa_limit,NRKW1-1,169.9690443
map_upper_10,fa_limit,NRKW1-1,274.609718
map_lower_11,fa_limit,NRKW1-1,256.9304854
map_upper_11,fa_limit,NRKW1-1,444.6173545
map_lower_12,fa_limit,NRKW1-1,196.9636291
map_upper_12,fa_limit,NRKW1-1,337.7111951
mat_lower_01,fa_limit,NRKW1-1,-0.915428571
mat_upper_01,fa_limit,NRKW1-1,1.967777778
mat_lower_02,fa_limit,NRKW1-1,-0.230142857
mat_upper_02,fa_limit,NRKW1-1,2.930277778
mat_lower_03,fa_limit,NRKW1-1,1.495285714
mat_upper_03,fa_limit,NRKW1-1,4.635277778
mat_lower_04,fa_limit,NRKW1-1,3.551142857
mat_upper_04,fa_limit,NRKW1-1,7.256944444
mat_lower_05,fa_limit,NRKW1-1,7.004571429
mat_upper_05,fa_limit,NRKW1-1,10.88851351
mat_lower_06,fa_limit,NRKW1-1,10.19571429
mat_upper_06,fa_limit,NRKW1-1,13.66972973
mat_lower_07,fa_limit,NRKW1-1,13.40614286
mat_upper_07,fa_limit,NRKW1-1,17.08972222
mat_lower_08,fa_limit,NRKW1-1,13.84071429
mat_upper_08,fa_limit,NRKW1-1,17.33458408
mat_lower_09,fa_limit,NRKW1-1,11.14134785
mat_upper_09,fa_limit,NRKW1-1,14.135
mat_lower_10,fa_limit,NRKW1-1,6.337285714
mat_upper_10,fa_limit,NRKW1-1,8.850540541
mat_lower_11,fa_limit,NRKW1-1,1.0125
mat_upper_11,fa_limit,NRKW1-1,3.853142857
mat_lower_12,fa_limit,NRKW1-1,-1.747058824
mat_upper_12,fa_limit,NRKW1-1,1.135138889
pet_lower_01,fa_limit,NRKW1-1,0
pet_upper_01,fa_limit,NRKW1-1,10.26385666
pet_lower_02,fa_limit,NRKW1-1,3.352168905
pet_upper_02,fa_limit,NRKW1-1,17.63693205
pet_lower_03,fa_limit,NRKW1-1,20.03383403
pet_upper_03,fa_limit,NRKW1-1,36.29162499
pet_lower_04,fa_limit,NRKW1-1,49.20994825
pet_upper_04,fa_limit,NRKW1-1,61.37838121
pet_lower_05,fa_limit,NRKW1-1,74.17780586
pet_upper_05,fa_limit,NRKW1-1,95.22485833
pet_lower_06,fa_limit,NRKW1-1,83.81606186
pet_upper_06,fa_limit,NRKW1-1,110.9495169
pet_lower_07,fa_limit,NRKW1-1,97.25809749
pet_upper_07,fa_limit,NRKW1-1,131.7765779
pet_lower_08,fa_limit,NRKW1-1,78.39889876
pet_upper_08,fa_limit,NRKW1-1,119.8675629
pet_lower_09,fa_limit,NRKW1-1,41.02539274
pet_upper_09,fa_limit,NRKW1-1,74.91539759
pet_lower_10,fa_limit,NRKW1-1,13.07338615
pet_upper_10,fa_limit,NRKW1-1,40.0591407
pet_lower_11,fa_limit,NRKW1-1,0.064225752
pet_upper_11,fa_limit,NRKW1-1,15.28603448
pet_lower_12,fa_limit,NRKW1-1,0
pet_upper_12,fa_limit,NRKW1-1,8.512636101
ptps_lower_01,fa_limit,NRKW1-1,0.426718357
ptps_upper_01,fa_limit,NRKW1-1,0.52743075
ptps_lower_02,fa_limit,NRKW1-1,0.417556617
ptps_upper_02,fa_limit,NRKW1-1,0.51917525
ptps_lower_03,fa_limit,NRKW1-1,0.304247067
ptps_upper_03,fa_limit,NRKW1-1,0.436152821
ptps_lower_04,fa_limit,NRKW1-1,0.16786108
ptps_upper_04,fa_limit,NRKW1-1,0.250058205
ptps_lower_05,fa_limit,NRKW1-1,0.042438462
ptps_upper_05,fa_limit,NRKW1-1,0.056135753
ptps_lower_06,fa_limit,NRKW1-1,0.001647692
ptps_upper_06,fa_limit,NRKW1-1,0.011088194
ptps_lower_07,fa_limit,NRKW1-1,2.31e-05
ptps_upper_07,fa_limit,NRKW1-1,0.001341398
ptps_lower_08,fa_limit,NRKW1-1,2.31e-06
ptps_upper_08,fa_limit,NRKW1-1,0.001009073
ptps_lower_09,fa_limit,NRKW1-1,6e-04
ptps_upper_09,fa_limit,NRKW1-1,0.010101389
ptps_lower_10,fa_limit,NRKW1-1,0.05826
ptps_upper_10,fa_limit,NRKW1-1,0.098671707
ptps_lower_11,fa_limit,NRKW1-1,0.28285142
ptps_upper_11,fa_limit,NRKW1-1,0.384153846
ptps_lower_12,fa_limit,NRKW1-1,0.47126338
ptps_upper_12,fa_limit,NRKW1-1,0.62606641
uztwm,sac,NRKW1-2,-99
uzfwm,sac,NRKW1-2,-99
lztwm,sac,NRKW1-2,-99
lzfpm,sac,NRKW1-2,-99
lzfsm,sac,NRKW1-2,-99
adimp,sac,NRKW1-2,-99
uzk,sac,NRKW1-2,-99
lzpk,sac,NRKW1-2,-99
lzsk,sac,NRKW1-2,-99
zperc,sac,NRKW1-2,-99
rexp,sac,NRKW1-2,-99
pctim,sac,NRKW1-2,-99
pfree,sac,NRKW1-2,-99
riva,sac,NRKW1-2,-99
side,sac,NRKW1-2,0
rserv,sac,NRKW1-2,0.3
peadj,sac,NRKW1-2,1
pxadj,sac,NRKW1-2,1
peadj_10,sac,NRKW1-2,0.7076
peadj_11,sac,NRKW1-2,0.303
peadj_12,sac,NRKW1-2,0.2785
peadj_01,sac,NRKW1-2,0.2863
peadj_02,sac,NRKW1-2,0.2534
peadj_03,sac,NRKW1-2,0.284
peadj_04,sac,NRKW1-2,0.5336
peadj_05,sac,NRKW1-2,0.6535
peadj_06,sac,NRKW1-2,0.7797
peadj_07,sac,NRKW1-2,0.8667
peadj_08,sac,NRKW1-2,0.8364
peadj_09,sac,NRKW1-2,0.8001
efc,sac,NRKW1-2,0.542044207422
scf,snow,NRKW1-2,-99
mfmax,snow,NRKW1-2,-99
mfmin,snow,NRKW1-2,-99
uadj,snow,NRKW1-2,-99
si,snow,NRKW1-2,-99
nmf,snow,NRKW1-2,0.15
tipm,snow,NRKW1-2,0.12
mbase,snow,NRKW1-2,0
plwhc,snow,NRKW1-2,0.04
daygm,snow,NRKW1-2,0
adc_a,snow,NRKW1-2,0.5
adc_b,snow,NRKW1-2,1
adc_c,snow,NRKW1-2,1
init_swe,snow,NRKW1-2,0
alat,snow,NRKW1-2,48.882
elev,snow,NRKW1-2,1090.849
zone_area,uh,NRKW1-2,314.902
unit_shape,uh,NRKW1-2,-99
unit_toc,uh,NRKW1-2,39.55474826
unit_toc_adj,uh,NRKW1-2,-99
map_lower_01,fa_limit,NRKW1-2,207.9973336
map_upper_01,fa_limit,NRKW1-2,361.9777954
map_lower_02,fa_limit,NRKW1-2,129.4755979
map_upper_02,fa_limit,NRKW1-2,245.9238054
map_lower_03,fa_limit,NRKW1-2,156.0955911
map_upper_03,fa_limit,NRKW1-2,279.8561205
map_lower_04,fa_limit,NRKW1-2,113.7985953
map_upper_04,fa_limit,NRKW1-2,204.7660334
map_lower_05,fa_limit,NRKW1-2,82.68913975
map_upper_05,fa_limit,NRKW1-2,167.5878001
map_lower_06,fa_limit,NRKW1-2,62.43348158
map_upper_06,fa_limit,NRKW1-2,135.6586387
map_lower_07,fa_limit,NRKW1-2,36.75779578
map_upper_07,fa_limit,NRKW1-2,79.9550119
map_lower_08,fa_limit,NRKW1-2,39.02252292
map_upper_08,fa_limit,NRKW1-2,80.19088937
map_lower_09,fa_limit,NRKW1-2,74.81439226
map_upper_09,fa_limit,NRKW1-2,125.858971
map_lower_10,fa_limit,NRKW1-2,169.9690443
map_upper_10,fa_limit,NRKW1-2,274.609718
map_lower_11,fa_limit,NRKW1-2,256.9304854
map_upper_11,fa_limit,NRKW1-2,444.6173545
map_lower_12,fa_limit,NRKW1-2,196.9636291
map_upper_12,fa_limit,NRKW1-2,337.7111951
mat_lower_01,fa_limit,NRKW1-2,-0.915428571
mat_upper_01,fa_limit,NRKW1-2,1.967777778
mat_lower_02,fa_limit,NRKW1-2,-0.230142857
mat_upper_02,fa_limit,NRKW1-2,2.930277778
mat_lower_03,fa_limit,NRKW1-2,1.495285714
mat_upper_03,fa_limit,NRKW1-2,4.635277778
mat_lower_04,fa_limit,NRKW1-2,3.551142857
mat_upper_04,fa_limit,NRKW1-2,7.256944444
mat_lower_05,fa_limit,NRKW1-2,7.004571429
mat_upper_05,fa_limit,NRKW1-2,10.88851351
mat_lower_06,fa_limit,NRKW1-2,10.19571429
mat_upper_06,fa_limit,NRKW1-2,13.66972973
mat_lower_07,fa_limit,NRKW1-2,13.40614286
mat_upper_07,fa_limit,NRKW1-2,17.08972222
mat_lower_08,fa_limit,NRKW1-2,13.84071429
mat_upper_08,fa_limit,NRKW1-2,17.33458408
mat_lower_09,fa_limit,NRKW1-2,11.14134785
mat_upper_09,fa_limit,NRKW1-2,14.135
mat_lower_10,fa_limit,NRKW1-2,6.337285714
mat_upper_10,fa_limit,NRKW1-2,8.850540541
mat_lower_11,fa_limit,NRKW1-2,1.0125
mat_upper_11,fa_limit,NRKW1-2,3.853142857
mat_lower_12,fa_limit,NRKW1-2,-1.747058824
mat_upper_12,fa_limit,NRKW1-2,1.135138889
pet_lower_01,fa_limit,NRKW1-2,0
pet_upper_01,fa_limit,NRKW1-2,10.26385666
pet_lower_02,fa_limit,NRKW1-2,3.352168905
pet_upper_02,fa_limit,NRKW1-2,17.63693205
pet_lower_03,fa_limit,NRKW1-2,20.03383403
pet_upper_03,fa_limit,NRKW1-2,36.29162499
pet_lower_04,fa_limit,NRKW1-2,49.20994825
pet_upper_04,fa_limit,NRKW1-2,61.37838121
pet_lower_05,fa_limit,NRKW1-2,74.17780586
pet_upper_05,fa_limit,NRKW1-2,95.22485833
pet_lower_06,fa_limit,NRKW1-2,83.81606186
pet_upper_06,fa_limit,NRKW1-2,110.9495169
pet_lower_07,fa_limit,NRKW1-2,97.25809749
pet_upper_07,fa_limit,NRKW1-2,131.7765779
pet_lower_08,fa_limit,NRKW1-2,78.39889876
pet_upper_08,fa_limit,NRKW1-2,119.8675629
pet_lower_09,fa_limit,NRKW1-2,41.02539274
pet_upper_09,fa_limit,NRKW1-2,74.91539759
pet_lower_10,fa_limit,NRKW1-2,13.07338615
pet_upper_10,fa_limit,NRKW1-2,40.0591407
pet_lower_11,fa_limit,NRKW1-2,0.064225752
pet_upper_11,fa_limit,NRKW1-2,15.28603448
pet_lower_12,fa_limit,NRKW1-2,0
pet_upper_12,fa_limit,NRKW1-2,8.512636101
ptps_lower_01,fa_limit,NRKW1-2,0.426718357
ptps_upper_01,fa_limit,NRKW1-2,0.52743075
ptps_lower_02,fa_limit,NRKW1-2,0.417556617
ptps_upper_02,fa_limit,NRKW1-2,0.51917525
