name,zone,lower,upper
uztwm_NRKW1-1,NRKW1-1,25,66.75
uzfwm_NRKW1-1,NRKW1-1,17.25,77.75
lztwm_NRKW1-1,NRKW1-1,74,206
lzfpm_NRKW1-1,NRKW1-1,78.5,551.5
lzfsm_NRKW1-1,NRKW1-1,31.25,113.75
adimp_NRKW1-1,NRKW1-1,0,0.2
uzk_NRKW1-1,NRKW1-1,0.24,0.46
lzpk_NRKW1-1,NRKW1-1,0.00465,0.01235
lzsk_NRKW1-1,NRKW1-1,0.074,0.206
zperc_NRKW1-1,NRKW1-1,1,91.25
rexp_NRKW1-1,NRKW1-1,1.1,3.9
pctim_NRKW1-1,NRKW1-1,0,0.05
pfree_NRKW1-1,NRKW1-1,0.2,0.6
riva_NRKW1-1,NRKW1-1,0,0.2
scf_NRKW1-1,NRKW1-1,0.7,1.5
mfmax_NRKW1-1,NRKW1-1,0.5,1.04
mfmin_NRKW1-1,NRKW1-1,0.1,0.35
uadj_NRKW1-1,NRKW1-1,0.05,0.2
si_NRKW1-1,NRKW1-1,1,5000
adc_a_NRKW1-1,NRKW1-1,0,0.25
adc_b_NRKW1-1,NRKW1-1,0.05,50
adc_c_NRKW1-1,NRKW1-1,0.5,50
unit_shape_NRKW1-1,NRKW1-1,1.01,3.3
unit_toc_adj_NRKW1-1,NRKW1-1,0.75,1.25
uztwm_NRKW1-2,NRKW1-2,25,66.75
uzfwm_NRKW1-2,NRKW1-2,17.25,77.75
lztwm_NRKW1-2,NRKW1-2,74,206
lzfpm_NRKW1-2,NRKW1-2,78.5,551.5
lzfsm_NRKW1-2,NRKW1-2,31.25,113.75
adimp_NRKW1-2,NRKW1-2,0,0.2
uzk_NRKW1-2,NRKW1-2,0.24,0.46
lzpk_NRKW1-2,NRKW1-2,0.00465,0.01235
lzsk_NRKW1-2,NRKW1-2,0.074,0.206
zperc_NRKW1-2,NRKW1-2,1,91.25
rexp_NRKW1-2,NRKW1-2,1.1,3.9
pctim_NRKW1-2,NRKW1-2,0,0.05
pfree_NRKW1-2,NRKW1-2,0.2,0.6
riva_NRKW1-2,NRKW1-2,0,0.2
scf_NRKW1-2,NRKW1-2,0.7,1.5
mfmax_NRKW1-2,NRKW1-2,0.5,1.04
mfmin_NRKW1-2,NRKW1-2,0.1,0.35
uadj_NRKW1-2,NRKW1-2,0.05,0.2
si_NRKW1-2,NRKW1-2,1,5000
adc_a_NRKW1-2,NRKW1-2,0,0.25
adc_b_NRKW1-2,NRKW1-2,0.05,50
adc_c_NRKW1-2,NRKW1-2,0.5,50
unit_shape_NRKW1-2,NRKW1-2,1.01,3.3
unit_toc_adj_NRKW1-2,NRKW1-2,0.75,1.25
map_scale_NRKW1,NRKW1,0.5,1.5
map_p_redist_NRKW1,NRKW1,0,0.5
map_std_NRKW1,NRKW1,0.1,20
map_shift_NRKW1,NRKW1,-15,15
mat_scale_NRKW1,NRKW1,0.5,1.5
mat_p_redist_NRKW1,NRKW1,0,0.5
mat_std_NRKW1,NRKW1,0.1,20
mat_shift_NRKW1,NRKW1,-15,15
pet_scale_NRKW1,NRKW1,0.5,1.5
pet_p_redist_NRKW1,NRKW1,0,0.5
pet_std_NRKW1,NRKW1,0.1,20
pet_shift_NRKW1,NRKW1,-15,15
ptps_scale_NRKW1,NRKW1,0.5,1.5
ptps_p_redist_NRKW1,NRKW1,0,0.5
ptps_std_NRKW1,NRKW1,0.1,20
ptps_shift_NRKW1,NRKW1,-15,15
lagtbl_a_MFNW1,MFNW1,-1,0
lagtbl_b_MFNW1,MFNW1,-1,0
lagtbl_c_MFNW1,MFNW1,0.1,1
ktbl_a_MFNW1,MFNW1,-1,1
ktbl_b_MFNW1,MFNW1,-1,1
ktbl_c_MFNW1,MFNW1,0.3,0.7
ktbl_d_MFNW1,MFNW1,0,1
init_co_MFNW1,MFNW1,104.670195314695,418.680781258782
init_if_MFNW1,MFNW1,104.670195314695,418.680781258782
init_of_MFNW1,MFNW1,104.670195314695,418.680781258782
init_stor_MFNW1,MFNW1,104.670195314695,418.680781258782
lagtbl_a_NFNW1,NFNW1,-1,0
lagtbl_b_NFNW1,NFNW1,-1,0
lagtbl_c_NFNW1,NFNW1,0.1,1
ktbl_a_NFNW1,NFNW1,-1,1
ktbl_b_NFNW1,NFNW1,-1,1
ktbl_c_NFNW1,NFNW1,0.3,0.7
ktbl_d_NFNW1,NFNW1,0,1
init_co_NFNW1,NFNW1,160.97100578073,643.884023122922
init_if_NFNW1,NFNW1,160.97100578073,643.884023122922
init_of_NFNW1,NFNW1,160.97100578073,643.884023122922
init_stor_NFNW1,NFNW1,160.97100578073,643.884023122922
lagtbl_a_NSSW1,NSSW1,-1,0
lagtbl_b_NSSW1,NSSW1,-1,0
lagtbl_c_NSSW1,NSSW1,0.1,1
ktbl_a_NSSW1,NSSW1,-1,1
ktbl_b_NSSW1,NSSW1,-1,1
ktbl_c_NSSW1,NSSW1,0.3,0.7
ktbl_d_NSSW1,NSSW1,0,1
init_co_NSSW1,NSSW1,66.3136757359037,265.254702943615
init_if_NSSW1,NSSW1,66.3136757359037,265.254702943615
init_of_NSSW1,NSSW1,66.3136757359037,265.254702943615
init_stor_NSSW1,NSSW1,66.3136757359037,265.254702943615
